The Aga Hall Estate,The Aga Hall Estate,3,"Check out 2,3 BHK apartments in Mazgaon, now available for sale at The Aga Hall Estate. The housing society is RERA-registered with P51900026326 registration number. Here units have different sizes, mostly in range of 660 - 1,404 sq.ft. CARPET area. Apartment prices in this housing society vary in the range of Rs. 3.42 - 8.12 Cr","[""St. Mary's School ICSE, Mumbai"", 'Eastern Expressway Highway']",8.12,1404.0,57834.76,3
Ashar Maple,Ashar,2,"Beautiful 1,2 BHK apartments in Vaishali Nagar, are now available in Ashar Maple housing project. Ashar Maple 's RERA registration number is P51800023941. Apartment prices in this housing society vary in the range of Rs. 1.27 - 2.46 Cr. Ashar Maple has apartments in multiple configurations, in range of 424 - 683 sq.ft.",[],2.46,683.0,36017.57,2
Ayodhya Saffron Residency,Ayodhya Construction Company,1,"Check out 1,2,3 BHK apartments in Nehru Nagar, now available for sale at Ayodhya Saffron Residency. Apartment prices in this housing society vary in the range of Rs. 76.1 L - 2.02 Cr. Ayodhya Saffron Residency apartments are available in multiples sizes, ranging from 350.26 - 680 sq.ft. CARPET area. Ayodhya Saffron Residency is a RERA- registered society and P51800007485 is the RERA registration number",[],0.9912,680.0,14576.47,1
Ayodhya Saffron Residency,Ayodhya Construction Company,2,"Check out 1,2,3 BHK apartments in Nehru Nagar, now available for sale at Ayodhya Saffron Residency. Apartment prices in this housing society vary in the range of Rs. 76.1 L - 2.02 Cr. Ayodhya Saffron Residency apartments are available in multiples sizes, ranging from 350.26 - 680 sq.ft. CARPET area. Ayodhya Saffron Residency is a RERA- registered society and P51800007485 is the RERA registration number",[],1.5,680.0,22058.82,2
Ayodhya Saffron Residency,Ayodhya Construction Company,3,"Check out 1,2,3 BHK apartments in Nehru Nagar, now available for sale at Ayodhya Saffron Residency. Apartment prices in this housing society vary in the range of Rs. 76.1 L - 2.02 Cr. Ayodhya Saffron Residency apartments are available in multiples sizes, ranging from 350.26 - 680 sq.ft. CARPET area. Ayodhya Saffron Residency is a RERA- registered society and P51800007485 is the RERA registration number",[],2.02,680.0,29705.88,3
Runwal Anthurium Valentine,Runwal Group,2,"Looking for your dream home? Explore 2,3,4 BHK apartments in LBS Marg, now available in Runwal Anthurium Valentine. This society offers apartments in the price range of Rs. 2.74 - 6 Cr. Apartments in Runwal Anthurium Valentine have SUPER area ranging between 1,010 - 2,215 sq.ft.. This society is RERA approved and P51800008477 is the RERA number",[],3.55,2215.0,16027.09,2
Runwal Anthurium Valentine,Runwal Group,3,"Looking for your dream home? Explore 2,3,4 BHK apartments in LBS Marg, now available in Runwal Anthurium Valentine. This society offers apartments in the price range of Rs. 2.74 - 6 Cr. Apartments in Runwal Anthurium Valentine have SUPER area ranging between 1,010 - 2,215 sq.ft.. This society is RERA approved and P51800008477 is the RERA number",[],4.7,2215.0,21218.96,3
Runwal Anthurium Valentine,Runwal Group,4,"Looking for your dream home? Explore 2,3,4 BHK apartments in LBS Marg, now available in Runwal Anthurium Valentine. This society offers apartments in the price range of Rs. 2.74 - 6 Cr. Apartments in Runwal Anthurium Valentine have SUPER area ranging between 1,010 - 2,215 sq.ft.. This society is RERA approved and P51800008477 is the RERA number",[],6.0,2215.0,27088.04,4
Gagan 138,Gagangiri Constructions,1,"Finest 1,2,3 BHK apartments in Kurla East available for sale in Gagan 138. Gagan 138 is a RERA- registered society and P51800033983 is the RERA registration number. Here units have different sizes, mostly in range of 410 - 800 sq.ft. CARPET area. The property options in this society are Under Construction",[],,800.0,,1
Gagan 138,Gagangiri Constructions,2,"Finest 1,2,3 BHK apartments in Kurla East available for sale in Gagan 138. Gagan 138 is a RERA- registered society and P51800033983 is the RERA registration number. Here units have different sizes, mostly in range of 410 - 800 sq.ft. CARPET area. The property options in this society are Under Construction",[],,800.0,,2
Gagan 138,Gagangiri Constructions,3,"Finest 1,2,3 BHK apartments in Kurla East available for sale in Gagan 138. Gagan 138 is a RERA- registered society and P51800033983 is the RERA registration number. Here units have different sizes, mostly in range of 410 - 800 sq.ft. CARPET area. The property options in this society are Under Construction",[],,800.0,,3
Kanakia Zen World,Kanakia Spaces Realty,1,"Looking for your dream home? Explore 1,2,3 BHK apartments in Kanjurmarg East, now available in Kanakia Zen World. This society offers apartments in the price range of Rs. 1.15 - 2.63 Cr. This society is RERA approved and P51800008343 is the RERA number. Apartments in Kanakia Zen World have CARPET area ranging between 400.42 - 959 sq.ft.",[],1.47,959.0,15328.47,1
Kanakia Zen World,Kanakia Spaces Realty,2,"Looking for your dream home? Explore 1,2,3 BHK apartments in Kanjurmarg East, now available in Kanakia Zen World. This society offers apartments in the price range of Rs. 1.15 - 2.63 Cr. This society is RERA approved and P51800008343 is the RERA number. Apartments in Kanakia Zen World have CARPET area ranging between 400.42 - 959 sq.ft.",[],2.18,959.0,22732.01,2
Kanakia Zen World,Kanakia Spaces Realty,3,"Looking for your dream home? Explore 1,2,3 BHK apartments in Kanjurmarg East, now available in Kanakia Zen World. This society offers apartments in the price range of Rs. 1.15 - 2.63 Cr. This society is RERA approved and P51800008343 is the RERA number. Apartments in Kanakia Zen World have CARPET area ranging between 400.42 - 959 sq.ft.",[],2.63,959.0,27424.4,3
Shree Samarth Aura,Shree Ashapura Realtors,1,"Choose your dream home from the wide variety of 1,2,3 BHK apartments in Bhandup West, available for sale in Shree Samarth Aura. Shree Samarth Aura 's RERA registration number is P51800033159. Apartments in Shree Samarth Aura have CARPET area ranging between 431 - 805 sq.ft.. Apartments are New Launch in this project","['L. B. S Marg', 'Nahur Station']",,805.0,,1
Shree Samarth Aura,Shree Ashapura Realtors,2,"Choose your dream home from the wide variety of 1,2,3 BHK apartments in Bhandup West, available for sale in Shree Samarth Aura. Shree Samarth Aura 's RERA registration number is P51800033159. Apartments in Shree Samarth Aura have CARPET area ranging between 431 - 805 sq.ft.. Apartments are New Launch in this project","['L. B. S Marg', 'Nahur Station']",,805.0,,2
Shree Samarth Aura,Shree Ashapura Realtors,3,"Choose your dream home from the wide variety of 1,2,3 BHK apartments in Bhandup West, available for sale in Shree Samarth Aura. Shree Samarth Aura 's RERA registration number is P51800033159. Apartments in Shree Samarth Aura have CARPET area ranging between 431 - 805 sq.ft.. Apartments are New Launch in this project","['L. B. S Marg', 'Nahur Station']",,805.0,,3
Thapar Le Parc,Thapar Realtors,3,"Here are beautifully built 3 BHK apartments in Chembur, available for sale at Thapar Le Parc. The housing society is RERA-registered with P51800052495 registration number. Apartments at Thapar Le Parc is currently New Launch","['East Facing', 'gokuldham within 250m']",,,,3
Shubham Trident,Shubham Realty,2,"Choose your dream home from the wide variety of 2,3,4 BHK apartments in Ghatla, available for sale in Shubham Trident. This society is RERA approved and P51800008658 is the RERA number. Apartments in Shubham Trident have CARPET area ranging between 600 - 1,100 sq.ft.. Apartments in this complex are available in price range of Rs. 1.92 - 3.3 Cr","['OLPS School', 'The Fine Arts Society']",1.92,1100.0,17454.55,2
Shubham Trident,Shubham Realty,3,"Choose your dream home from the wide variety of 2,3,4 BHK apartments in Ghatla, available for sale in Shubham Trident. This society is RERA approved and P51800008658 is the RERA number. Apartments in Shubham Trident have CARPET area ranging between 600 - 1,100 sq.ft.. Apartments in this complex are available in price range of Rs. 1.92 - 3.3 Cr","['OLPS School', 'The Fine Arts Society']",3.3,1100.0,30000.0,3
Shubham Trident,Shubham Realty,4,"Choose your dream home from the wide variety of 2,3,4 BHK apartments in Ghatla, available for sale in Shubham Trident. This society is RERA approved and P51800008658 is the RERA number. Apartments in Shubham Trident have CARPET area ranging between 600 - 1,100 sq.ft.. Apartments in this complex are available in price range of Rs. 1.92 - 3.3 Cr","['OLPS School', 'The Fine Arts Society']",,1100.0,,4
Lodha Bel Air,Lodha,1,"Lodha Bel Air, one of the known housing societes in Western Mumbai, brings classic yet modern 1,2,3,4 BHK apartments in Jogeshwari West. The housing society is RERA-registered with P51800014891 registration number. Lodha Bel Air apartments are available in multiples sizes, ranging from 631 - 1,400 sq.ft. CARPET area. Prices of apartments in this project, vary between Rs. 2.5 - 5.75 Cr",['Overlooking Park/Garden'],,1400.0,,1
Lodha Bel Air,Lodha,2,"Lodha Bel Air, one of the known housing societes in Western Mumbai, brings classic yet modern 1,2,3,4 BHK apartments in Jogeshwari West. The housing society is RERA-registered with P51800014891 registration number. Lodha Bel Air apartments are available in multiples sizes, ranging from 631 - 1,400 sq.ft. CARPET area. Prices of apartments in this project, vary between Rs. 2.5 - 5.75 Cr",['Overlooking Park/Garden'],3.54,1400.0,25285.71,2
Lodha Bel Air,Lodha,3,"Lodha Bel Air, one of the known housing societes in Western Mumbai, brings classic yet modern 1,2,3,4 BHK apartments in Jogeshwari West. The housing society is RERA-registered with P51800014891 registration number. Lodha Bel Air apartments are available in multiples sizes, ranging from 631 - 1,400 sq.ft. CARPET area. Prices of apartments in this project, vary between Rs. 2.5 - 5.75 Cr",['Overlooking Park/Garden'],4.75,1400.0,33928.57,3
Lodha Bel Air,Lodha,4,"Lodha Bel Air, one of the known housing societes in Western Mumbai, brings classic yet modern 1,2,3,4 BHK apartments in Jogeshwari West. The housing society is RERA-registered with P51800014891 registration number. Lodha Bel Air apartments are available in multiples sizes, ranging from 631 - 1,400 sq.ft. CARPET area. Prices of apartments in this project, vary between Rs. 2.5 - 5.75 Cr",['Overlooking Park/Garden'],5.75,1400.0,41071.43,4
GBD Evana Heights,GBD Infra Project LLP,1,"Here are beautifully built 1,3 BHK apartments in Parel, available for sale at GBD Evana Heights. This society is RERA approved and P51900053438 is the RERA number. GBD Evana Heights has apartments in multiple configurations, in range of 413.33 - 757.89 sq.ft.. This society offers apartments in the price range of Rs. 1.38 - 2.54 Cr","['East Facing', 'Johnson & Johnson  within 250m']",1.38,75789.0,182.08,1
GBD Evana Heights,GBD Infra Project LLP,3,"Here are beautifully built 1,3 BHK apartments in Parel, available for sale at GBD Evana Heights. This society is RERA approved and P51900053438 is the RERA number. GBD Evana Heights has apartments in multiple configurations, in range of 413.33 - 757.89 sq.ft.. This society offers apartments in the price range of Rs. 1.38 - 2.54 Cr","['East Facing', 'Johnson & Johnson  within 250m']",2.54,75789.0,335.14,3
Codename Rare by Runwal,Runwal Group,2,"Check out 2,3,4 BHK apartments in DN Nagar, now available for sale at Codename Rare by Runwal. This society offers apartments in the price range of Rs. 3.61 - 7.9 Cr. Codename Rare by Runwal has apartments in multiple configurations, in range of 860 - 1,838 sq.ft.. This society is RERA approved and P51800034594 is the RERA number","['East Facing', 'Gated Society']",3.61,1838.0,19640.91,2
Codename Rare by Runwal,Runwal Group,3,"Check out 2,3,4 BHK apartments in DN Nagar, now available for sale at Codename Rare by Runwal. This society offers apartments in the price range of Rs. 3.61 - 7.9 Cr. Codename Rare by Runwal has apartments in multiple configurations, in range of 860 - 1,838 sq.ft.. This society is RERA approved and P51800034594 is the RERA number","['East Facing', 'Gated Society']",5.11,1838.0,27801.96,3
Codename Rare by Runwal,Runwal Group,4,"Check out 2,3,4 BHK apartments in DN Nagar, now available for sale at Codename Rare by Runwal. This society offers apartments in the price range of Rs. 3.61 - 7.9 Cr. Codename Rare by Runwal has apartments in multiple configurations, in range of 860 - 1,838 sq.ft.. This society is RERA approved and P51800034594 is the RERA number","['East Facing', 'Gated Society']",7.9,1838.0,42981.5,4
Goodwill Kanchangiri,Goodwill Builders,1,"Here are beautifully built 1,2,3,4 BHK apartments in Kandivali East, available for sale at Goodwill Kanchangiri. This society is RERA approved and P51800009001 is the RERA number. Goodwill Kanchangiri has apartments in multiple configurations, in range of 784 - 1,493.28 sq.ft.. Apartments in this complex are available in price range of Rs. 2.3 - 4.33 Cr","['Gated Society', 'Corner Property']",,149328.0,,1
Goodwill Kanchangiri,Goodwill Builders,2,"Here are beautifully built 1,2,3,4 BHK apartments in Kandivali East, available for sale at Goodwill Kanchangiri. This society is RERA approved and P51800009001 is the RERA number. Goodwill Kanchangiri has apartments in multiple configurations, in range of 784 - 1,493.28 sq.ft.. Apartments in this complex are available in price range of Rs. 2.3 - 4.33 Cr","['Gated Society', 'Corner Property']",2.3,149328.0,154.02,2
Goodwill Kanchangiri,Goodwill Builders,3,"Here are beautifully built 1,2,3,4 BHK apartments in Kandivali East, available for sale at Goodwill Kanchangiri. This society is RERA approved and P51800009001 is the RERA number. Goodwill Kanchangiri has apartments in multiple configurations, in range of 784 - 1,493.28 sq.ft.. Apartments in this complex are available in price range of Rs. 2.3 - 4.33 Cr","['Gated Society', 'Corner Property']",3.45,149328.0,231.04,3
Goodwill Kanchangiri,Goodwill Builders,4,"Here are beautifully built 1,2,3,4 BHK apartments in Kandivali East, available for sale at Goodwill Kanchangiri. This society is RERA approved and P51800009001 is the RERA number. Goodwill Kanchangiri has apartments in multiple configurations, in range of 784 - 1,493.28 sq.ft.. Apartments in this complex are available in price range of Rs. 2.3 - 4.33 Cr","['Gated Society', 'Corner Property']",4.33,149328.0,289.97,4
